code,processed_code
"a is 2
if a is 1:
    print 'a is 1'
elif a is 2:
    print 'a is 2'
else:
    print 'a is niet 1 of 2'",% is % if % is % print % is % % % is % print % is % % print % is % % % % 
"kleur is groen
if kleur is groen:
    print 'De kleur is groen'
else:
    print 'De kleur is niet groen'",% is % if % is % print % % is % % print % % is % % 
"kleur is ask Welke kleur?
if kleur is groen:
    print 'De kleur is groen'
elif kleur is paars:
    print 'De kleur paars'
else:
    print 'De kleur is lelijk'",% is ask % % if % is % print % % is % % % is % print % % % % print % % is % 
"kleur is ask Welke kleur?
if kleur is groen:
    print 'De kleur is groen'
else:
    print 'De kleur is niet groen'",% is ask % % if % is % print % % is % % print % % is % % 
